familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO
Accesorios Gastronómicos,accesorio-con-mecanismo,DPF-230,Dispensador de Papas,
Accesorios Gastronómicos,accesorio-con-mecanismo,PIPP-0395,Cortadora de Papas,
Accesorios Gastronómicos,accesorio-con-mecanismo,PICF-0575,Cortador de Fiambre,
Accesorios Gastronómicos,accesorio-con-mecanismo,SBUR-0150,Smasher Burger,
Accesorios Gastronómicos,accesorio-simple,SVC-120,Servilletero Modelo Copa,
Accesorios Gastronómicos,accesorio-simple,ECS-105,Escurridor de Servicio,
Accesorios Gastronómicos,accesorio-simple,PBJ-400,Porta Bandejas,
Accesorios Gastronómicos,accesorio-simple,PL-030,Pala de Basura,
Accesorios Gastronómicos,accesorio-simple,PORV-050,Porta Vaso,
Accesorios Gastronómicos,accesorio-simple,PORT-0250,Porta Platos,
Accesorios Gastronómicos,accesorio-simple,PLCHCC-0435,Plancha de Acero Inoxidable,
Accesorios Gastronómicos,accesorio-simple,ESPL-00140,Espatula Plancha,
Accesorios Gastronómicos,accesorio-simple,ESPL-00150,Espatula Plancha,
Accesorios Gastronómicos,accesorio-con-mecanismo,TOST-01,Tostador de Pan,
Accesorios Gastronómicos,importado,DPJ-00560,Dispensador de Jugos,IMPORTADO
Bandejas,bandeja-simple,BACOAN-0400,Bandeja de Cobre 400 MM Diámetro,
Bandejas,bandeja-pasavalores,BANPSVC-00150,Bandeja Pasavalores 300 X 200 X 40 MM,
Bandejas,bandeja-simple,BACNOX-0400,Bandeja Acero Inoxidable 400 MM Diámetro,
Bandejas,bandeja-carro,BAUCB-0670,Bandeja para Carro AUCB-0670,
Bandejas,bandeja-carro,BAUCB-0790,Bandeja para Carro AUCB-0790,
Bandejas,bandeja-carro,BAUCB-0178,Bandeja para Carro AUCB-0178,
Bandejas,bandeja-pasavalores,BANPSVC-00260,Bandeja Pasavalores 360 X 260 X 40 MM,
