familia,subfamilia,codigo,producto,handle,url,descripcion_web,scrape_status,importado_flag,tipo_fabricacion,complejidad,fuente
Mesones de Trabajo,meson-simple,,,meson-abierto-de-trabajo-de-900mm-bamt-0900,https://dulox.cl/products/meson-abierto-de-trabajo-de-900mm-bamt-0900,"MESON DE TRABAJO 900 X 600 X 860MM ALTURA. SOPORTE EN PERFIL AC. INOX. 30X30MM, CON REPISA INFERIOR Y PATINES REGULABLES EN ALTURA. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L 1MM ESPESOR.",ok,,fabricado,C1,sheet1
Mesones de Trabajo,meson-repisa,,,meson-abierto-de-trabajo-de-1900mm-bamt-0197,https://dulox.cl/products/meson-abierto-de-trabajo-de-1900mm-bamt-0197,MESON DE TRABAJO DE 1900MM DE LARGO X 600MM ANCHO X 860MM ALTURA. SOPORTE EN PERFIL 30X30MM Y PATINES REGULABLES. INCLUYE REPISA LISA INFERIOR. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1MM ESPESOR.,ok,,fabricado,C1,sheet1
Mesones de Trabajo,meson-cajones,,,meson-cerrado-de-trabajo-de-1000mm-bamt-1000,https://dulox.cl/products/meson-cerrado-de-trabajo-de-1000mm-bamt-1000,"MESON DE TRABAJO CERRADO CON PUERTAS FRONTALES O CORREDERA, DE 1000 X 600 X 860 MM DE ALTURA. CON REPISA INTERMEDIA Y BASE. RESPALDO 100MM Y PATINES REGULABLES EN ALTURA. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1MM DE ESPESOR.",ok,,fabricado,C2,sheet1
Mesones de Trabajo,meson-cajones,,,meson-cerrado-de-trabajo-de-1500mm-bamt-0199,https://dulox.cl/products/meson-cerrado-de-trabajo-de-1500mm-bamt-0199,"MESON DE TRABAJO CERRADO CON PUERTAS DE CORREDERA Y CAJONERA AL COSTADO, DE 1500 X 600 X 860 MM DE ALTURA CON REPISA INTERMEDIA Y BASE. RESPALDO 100MM Y PATINES REGULABLES EN ALTURA. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1MM DE ESPESOR.",ok,,fabricado,C3,sheet1
Mesones de Trabajo,meson-cajones,,,meson-cerrado-de-trabajo-de-1900mm-bamt-00200,https://dulox.cl/products/meson-cerrado-de-trabajo-de-1900mm-bamt-00200,"MESON DE TRABAJO CERRADO CON PUERTAS DE CORREDERA Y CAJONERA AL COSTADO, DE 2000 X 600 X 860 MM DE ALTURA CON REPISA INTERMEDIA Y BASE. RESPALDO 100MM Y PATINES REGULABLES EN ALTURA. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1MM DE ESPESOR.",ok,,fabricado,C3,sheet1
Mesones de Trabajo,meson-en-proyecto,,,meson-lavadero-con-desconche-bamte-1400,https://dulox.cl/products/meson-lavadero-con-desconche-bamte-1400,"LAVADERO CON DESCONCHE PARA ENTRADA DE LAVAVAJILLA DE 1400MM DE LARGO X 600 / 740MM DE ANCHO X 835MM DE ALTURA. SOPORTE EN PERFIL 30 X 30 MM. CON 1 TAZA DE 500X400X300MM PROFUNDIDAD. FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1,5MM ESPESOR. NO INCLUYE GRIFERÍA.",ok,,fabricado,C3,sheet1
Mesones de Trabajo,meson-simple,,,meson-de-salida-lavavajilla-bamte-0900,https://dulox.cl/products/meson-de-salida-lavavajilla-bamte-0900,"MESON SALIDA LAVAVAJILLA DE 900 X 600/740 X 835MM ALTURA. SOPORTE EN PERFIL 30 X 30 MM, CON REPISA INTERMEDIA Y PATINES REGULABLES EN ALTURA. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L 1,5MM ESPESOR.",ok,,fabricado,C1,sheet1
Mesones de Trabajo,meson-en-proyecto,,,meson-de-desconche-bamt-1400,https://dulox.cl/products/meson-de-desconche-bamt-1400,MESON DESCONCHE DE 1400 MM DE LARGO X 600 MM ANCHO X 860 MM ALTURA. SOPORTE EN PERFIL 30 X 30 MM Y PATINES REGULABLES. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1MM ESPESOR.,ok,,fabricado,C3,sheet1
Mesones de Trabajo,meson-cajones,,,meson-de-trabajo-4-cajones-repisa-bamtc-1300,https://dulox.cl/products/meson-de-trabajo-4-cajones-repisa-bamtc-1300,"MESÓN DE TRABAJO 1300 X 600 X 850MM ALTURA. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1,5 MM DE ESPESOR. CON 4 CAJONES DE 370X570X140MM CADA UNO. RESPALDO MURAL DE  60MM. REPISA INFERIOR TUBULAR DE 1 PULGADA DIAMETRO. ESTRUCTURA EN PERFIL 30X30MM Y PATINES REGULABLES.",ok,,fabricado,C3,sheet1
Accesorios para Personas con Capacidades Diferentes,curva,,,barra-abatible-bra-0610,https://dulox.cl/products/barra-abatible-bra-0610,"La barra de seguridad DULOX está diseñada especialmente para mantenerte seguro al levantarte del inodoro. Esta barra de asistencia es ideal para personas con movilidad reducida, embarazadas, personas con pérdida del equilibrio, adultos mayores o pacientes recuperándose de una cirugía. Fabricado con los estándares DULOX en acero AISI 340-L, garantiza la durabilidad y resistencia, durara prácticamente para toda la vida. - Evita accidentes - Extremadamente resistente y seguro - Abatible: Sube o baja cuando necesites utilizarlo. - Para todo tipo de baños: Soporte universal. - El producto requiere instalación. BARRA DE ABATIBLE DE 1 ¼” Ø • PLETINA DE 1.2MM PARA ANCLAR A MURO CON 4 ORIFICIOS DE 6MM Ø • FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L Somos fabricantes nacionales, con experiencia de más de 70 años, confía en DULOX! Garantía del vendedor: 6 meses",ok,,fabricado,C2,sheet1
