familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO,tipo_fabricacion,complejidad
Accesorios Gastronómicos,accesorio-con-mecanismo,DPF-230,Dispensador de Papas,,fabricado,C1
Accesorios Gastronómicos,accesorio-con-mecanismo,PIPP-0395,Cortadora de Papas,,fabricado,C1
Accesorios Gastronómicos,accesorio-con-mecanismo,PICF-0575,Cortador de Fiambre,,fabricado,C1
Accesorios Gastronómicos,accesorio-con-mecanismo,SBUR-0150,Smasher Burger,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,SVC-120,Servilletero Modelo Copa,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,ECS-105,Escurridor de Servicio,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,PBJ-400,Porta Bandejas,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,PL-030,Pala de Basura,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,PORV-050,Porta Vaso,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,PORT-0250,Porta Platos,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,PLCHCC-0435,Plancha de Acero Inoxidable,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,ESPL-00140,Espatula Plancha,,fabricado,C1
Accesorios Gastronómicos,accesorio-simple,ESPL-00150,Espatula Plancha,,fabricado,C1
Accesorios Gastronómicos,accesorio-con-mecanismo,TOST-01,Tostador de Pan,,fabricado,C1
Accesorios Gastronómicos,importado,DPJ-00560,Dispensador de Jugos,IMPORTADO,importado-resell,
Bandejas,bandeja-simple,BACOAN-0400,Bandeja de Cobre 400 MM Diámetro,,fabricado,C1
Bandejas,bandeja-pasavalores,BANPSVC-00150,Bandeja Pasavalores 300 X 200 X 40 MM,,fabricado,C2
Bandejas,bandeja-simple,BACNOX-0400,Bandeja Acero Inoxidable 400 MM Diámetro,,fabricado,C1
Bandejas,bandeja-carro,BAUCB-0670,Bandeja para Carro AUCB-0670,,fabricado,C1
Bandejas,bandeja-carro,BAUCB-0790,Bandeja para Carro AUCB-0790,,fabricado,C1
Bandejas,bandeja-carro,BAUCB-0178,Bandeja para Carro AUCB-0178,,fabricado,C1
Bandejas,bandeja-pasavalores,BANPSVC-00260,Bandeja Pasavalores 360 X 260 X 40 MM,,fabricado,C2
Bandejas,bandeja-pasavalores,BANPSVC-00300,Bandeja Pasavalores 300 X 300 X 40 MM,,fabricado,C2
Bandejas,bandeja-carro,BAUCB-0810,Bandeja para Carro AUCB-0810,,fabricado,C1
Bandejas,bandeja-simple,,Bandeja 360 MM,,fabricado,C1
Bandejas,bandeja-simple,,Bandeja 380 MM,,fabricado,C1
Baño María,bano-maria-simple,DUBM,Baño Maria 1 Deposito Full,,fabricado,C1
Baño María,bano-maria-simple,DUBM2,Baño Maria 2 Deposito Full,,fabricado,C1
Baño María,bano-maria-electrico,HB-2T,Baño Maria Eléctrica,IMPORTADO,importado-revisar,C2
Baño María,bano-maria-encimera,HEB-609,Baño Maria Encimera Electrica,IMPORTADO,importado-revisar,C2
Baño María,chocolatera,HW-22,Chocolatera Eléctrica de Sobremesa,IMPORTADO,importado-revisar,C2
Baño María,bano-maria-con-gabinete,HGR-909,Baño Maria con Gabinete,IMPORTADO,importado-revisar,C2
Baño María,bano-maria-electrico,BMDF-540,Baño Maria Eléctrico de Sobremesa 1 Depósito Full,,fabricado,C2
Baño María,bano-maria-electrico,BMDM-540,Baño Maria Eléctrico de Sobremesa 2 Depósitos 1/2,,fabricado,C2
Baño María,bano-maria-simple,DUBM4,Baño Maria 4 Deposito Full,,fabricado,C1
Baño María,bano-maria-simple,DUBM3,Baño Maria 3 Deposito Full,,fabricado,C1
Baño María,bano-maria-simple,DUBM3C,Baño Maria Sobremesa 3 Deposito Full,,fabricado,C1
Baño María,chocolatera,DUBMCH,Chocolatera Baño María 6L,,fabricado,C1
Baño María,accesorio,CCFR-00580,Cocedora de Pastas,IMPORTADO,importado-revisar,C1
Cámaras Desgrasadoras,pequena,CADE20-0415,Camara Desgrasadora 20L,,fabricado,C1
Cámaras Desgrasadoras,pequena,CADE30-0415,Camara Desgrasadora 30L,,fabricado,C1
Cámaras Desgrasadoras,pequena,CADE40-0500,Camara Desgrasadora 40L,,fabricado,C1
Cámaras Desgrasadoras,mediana,CADE50-0500,Camara Desgrasadora 50L,,fabricado,C1
Cámaras Desgrasadoras,mediana,CADE60-0600,Camara Desgrasadora 60L,,fabricado,C1
Cámaras Desgrasadoras,mediana,CADE70-0620,Camara Desgrasadora 70L,,fabricado,C1
Cámaras Desgrasadoras,grande,CADE80-0500,Camara Desgrasadora 80L,,fabricado,C1
Cámaras Desgrasadoras,grande,CADE90-0500,Camara Desgrasadora 90L,,fabricado,C1
Cámaras Desgrasadoras,grande,CADE100-0650,Camara Desgrasadora 100L,,fabricado,C1
Campanas Industriales y Domésticas,campana-central,CCCI-1513,Campana Central 1500x1300x400,,fabricado,C2
Campanas Industriales y Domésticas,campana-central,CCCI-2013,Campana Central 2000x1300x400,,fabricado,C3
Campanas Industriales y Domésticas,campana-central,CCCI-3013,Campana Central 3000x1300x400,,fabricado,C3
Campanas Industriales y Domésticas,campana-mural,CCCM-1510,Campana Mural 1500x1000x400,,fabricado,C1
Campanas Industriales y Domésticas,campana-mural,CCCM-2010,Campana Mural 2000x1000x400,,fabricado,C2
Campanas Industriales y Domésticas,campana-mural,CCCM-3010,Campana Mural 3000x1000x400,,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,FIL-050,Filtro Campana,,fabricado,C1
Campanas Industriales y Domésticas,accesorio-campana,,Filtro Campana 495 MM IMAHE,,fabricado,C1
Campanas Industriales y Domésticas,accesorio-campana,FC-100,Foco Campana,,fabricado,C1
Campanas Industriales y Domésticas,accesorio-campana,,"Extractor Axial 10""",,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,"Extractor Axial 12""",,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,"Extractor Axial 14""",,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,"Extractor Axial 16""",,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,"Extractor Turbo 8.5""",,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,"Extractor Turbo 10""",,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,Extractor Turbo 12'',,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,"Gorro Chino para Extractor 10""",,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,"Gorro Chino para Extractor 12""",,fabricado,C2
Campanas Industriales y Domésticas,accesorio-campana,,"Gorro Chino para Extractor 16""",,fabricado,C2
Carros de Traslado,carro-bandejero,AUCB-0670,Carro Bandejero Cap 22 Bandejas,,fabricado,C1
Carros de Traslado,carro-bandejero,AUCB-0178,Carro Bandejero Cap 12 Bandejas,,fabricado,C1
Carros de Traslado,carro-bandejero,AUCB-0911,Carro Bandejero Cap 9 Bandejas,,fabricado,C1
Carros de Traslado,carro-bandejero,AUCB-0810,Carro Bandejero Cap 24 Bandejas,,fabricado,C1
Carros de Traslado,carro-bandejero,AUCB-1600,Carro Porta Tachos,,fabricado,C1
Carros de Traslado,carro-especial,CPCC-2150,Carro Transporte Cadaver,,fabricado,C3
Carros de Traslado,carro-cerrado,AUCB-0790,Carro Cerrado Cap 8 Bandejas,,fabricado,C2
Carros de Traslado,carro-cerrado,CATR-0800,Carro Traslado Cerrado para Bandejas con Repisa y Base,,fabricado,C2
Carros de Traslado,carro-bandejero,AUCB-0600,Carro Batea para Hielo,,fabricado,C1
Carros de Traslado,carro-bandejero,AUCB-0900,Carro para Sushi,,fabricado,C1
Carros Multipropósito,carro-multiproposito,CAMMUL-0175,Carro Multipropósito,,fabricado,C2
Carros Multipropósito,carro-food,CAFOD-01900,Carro Hot Dog Green Dog,,fabricado,C2
Carros Multipropósito,carro-food,CAHD-01900,Carro para Hot Dog y Hamburguesas,,fabricado,C2
Carros Multipropósito,carro-food,CAMAU-01200,Carro Hot Dog Autónomo,,fabricado,C2
Carros Multipropósito,carro-food,CAMCUR-01400,Carro Multipropósito Curvo,,fabricado,C3
Carros Multipropósito,carro-food,CAMHU-01200,Carro para Mote con Huesillo,,fabricado,C2
Carros Multipropósito,carro-food,CAJUG-01000,Carro para Jugos,,fabricado,C2
Carros Multipropósito,carro-multiproposito,,Carro Multipropósito Recto,,fabricado,C2
Cocinas Industriales,anafe,1PQ,Anafe Industrial a Gas 1 Quemador,,fabricado,C1
Cocinas Industriales,anafe,1PQN,Anafe Industrial a Gas 1 Quemador,,fabricado,C1
Cocinas Industriales,anafe,2PQ,Anafe Industrial a Gas 2 Quemadores,,fabricado,C1
Cocinas Industriales,anafe,2PQL,Anafe Industrial a Gas 2 Quemadores Alta,,fabricado,C1
Cocinas Industriales,anafe,2PQN,Anafe Industrial a Gas 2 Quemadores,,fabricado,C1
Cocinas Industriales,cocina-gas,3PQ,Cocina Industrial a Gas 3 Quemadores,,fabricado,C2
Cocinas Industriales,cocina-gas,4PQ,Cocina Industrial a Gas 4 Quemadores,,fabricado,C2
Cocinas Industriales,cocina-gas,4PQN,Cocina Industrial a Gas 4 Quemadores,,fabricado,C2
Cocinas Industriales,cocina-con-plancha,4PQCH,Cocina Industrial a Gas 4 Quemadores con Placha Churrasquera,,fabricado,C2
Cocinas Industriales,cocina-con-plancha,4PQCHBM,Cocina 4 Quemadores con Plancha Churrasquera y Baño Maria,,fabricado,C3
Cocinas Industriales,cocina-con-horno,4PQH,Cocina 4 Quemadores con Horno,,fabricado,C3
Cocinas Industriales,cocina-con-horno,4PQHCH,Cocina 4 Quemadores con Horno y Plancha Churrasquera,,fabricado,C3
Cocinas Industriales,cocina-gas,6PQ,Cocina 6PQ,,fabricado,C2
Cocinas Industriales,cocina-con-plancha,6PQCH,Cocina 6 Quemadores con Plancha Churrasquera,,fabricado,C3
Cocinas Industriales,cocina-con-horno,6PQH,Cocina 6 Quemadores con Horno,,fabricado,C3
Cocinas Industriales,cocina-con-horno,6PQHCH,Cocina 6 Quemadores con Horno y Plancha Churrasquera,,fabricado,C3
Cocinas Industriales,cocina-gas,8PQ,Cocina 8PQ,,fabricado,C2
Cocinas Industriales,parrilla,CCCG-0003,Parrilla a Gas,,fabricado,C1
Cocinas Industriales,cocina-wok,COWK-800,Cocina Wok 1 fogon,,fabricado,C2
Cocinas Industriales,cocina-wok,COWK-1200,Cocina Wok 2 fogones,,fabricado,C2
Cocinas Industriales,cocina-wok,COWK-1800,Cocina Wok 3 fogones,,fabricado,C3
Cocinas Industriales,cocina-wok,COWK-2700,Cocina Wok 4 fogones,,fabricado,C3
Cocinas Industriales,parrilla,HGL-907,Parrilla con Roca Volcánica a Gas,IMPORTADO,importado-revisar,C1
